Table 6_9_1_3_1.3,,,,,,,,,,,,,,,,,,,
"Deaths per 1,000 hospital admissions with pneumonia,ª age 18 and over, by State, 2011-2015",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2015,,2014,,2013,,2012,,2011,,,,,,,,,,
Nevada,16.1,1.9,20.0,1.7,24.5,1.8,23.1,1.8,27.9,1.9,,,,,,,,,
New Jersey,18.8,1.1,21.8,1.0,23.6,0.9,23.8,1.0,26.1,1.0,,,,,,,,,
New Mexico,19.3,2.5,23.0,2.1,DSU,DSU,DSU,DSU,DSU,DSU,,,,,,,,,
New York,23.0,0.8,26.4,0.7,30.0,0.7,31.6,0.7,34.1,0.7,,,,,,,,,
North Carolina,16.5,0.9,18.4,0.8,20.5,0.8,22.8,0.8,26.2,0.9,,,,,,,,,
North Dakota,16.5,3.1,19.8,2.9,29.0,2.8,DSU,DSU,DSU,DSU,,,,,,,,,
Ohio,12.8,0.8,DSU,DSU,17.9,0.7,18.9,0.7,20.6,0.7,,,,,,,,,
Oklahoma,18.3,1.4,24.1,1.3,29.5,1.3,33.1,1.3,36.7,1.3,,,,,,,,,
Oregon,16.9,1.8,17.1,1.7,22.2,1.7,23.5,1.7,25.1,1.7,,,,,,,,,
Rhode Island,DSU,DSU,18.5,2.7,DSU,DSU,17.3,2.5,26.2,2.4,,,,,,,,,
South Carolina,DSU,DSU,21.0,1.2,22.6,1.2,24.2,1.2,28.8,1.2,,,,,,,,,
South Dakota,18.6,2.7,20.2,2.6,22.9,2.6,31.4,2.8,29.1,2.6,,,,,,,,,
Tennessee,19.6,1.0,22.7,0.9,24.0,0.8,24.8,0.9,27.8,0.9,,,,,,,,,
Texas,17.0,0.6,20.3,0.6,21.9,0.6,24.4,0.6,25.7,0.6,,,,,,,,,
Utah,DSU,DSU,DSU,DSU,20.8,2.3,22.4,2.5,25.7,2.3,,,,,,,,,
Vermont,18.5,3.8,32.5,3.5,25.9,3.6,28.9,3.4,31.5,3.5,,,,,,,,,
Virginia,16.2,1.2,18.2,1.1,20.8,1.0,22.9,1.0,27.8,1.0,,,,,,,,,
Washington,18.1,1.4,17.7,1.3,20.6,1.3,26.3,1.3,26.7,1.3,,,,,,,,,
West Virginia,18.9,1.7,22.4,1.6,24.0,1.5,30.1,1.5,29.2,1.5,,,,,,,,,
Wisconsin,17.0,1.3,19.2,1.2,19.6,1.1,22.9,1.3,25.3,1.2,,,,,,,,,
Wyoming,27.3,4.7,25.1,4.2,33.7,4.1,37.8,4.5,40.1,4.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"ª Consistent with the AHRQ IQI software, pneumonia must be the principal diagnosis and the following cases are excluded: obstetric admissions and transfers to another hospital.",,,,,,,,,,,,,,,,,,,
"b Rates are adjusted by age, gender, age-gender interactions, Major Diagnostic Category (MDC), All Patient Refined-Diagnosis Related Group (APR-DRG) risk of mortality score, and transfers into the hospital.  The AHRQ IQI software was modified to not use the present on admission (POA) indicators (nor estimates of the likelihood of POA for secondary diagnosis).",,,,,,,,,,,,,,,,,,,
"DSU - Data do not meet the criteria for statistical reliability, data quality, or confidentiality.",,,,,,,,,,,,,,,,,,,
Key: SE: standard error.,,,,,,,,,,,,,,,,,,,
"Source: Agency for Healthcare Research and Quality (AHRQ), Center for Delivery, Organization, and Markets, Healthcare Cost and Utilization Project (HCUP) State Inpatient Databases (SID), and AHRQ Quality Indicators, version 4.4. Not all States participate in HCUP.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
